Point ID,vel_0,vel_1
9750,4.49844e-11,4.49844e-11
9751,6.04057e-11,6.04057e-11
9752,1.0208e-10,1.0208e-10
9753,5.92712e-12,5.92712e-12
9754,9.31812e-12,9.31812e-12
9755,1.25107e-11,1.25107e-11
9756,2.00207e-11,2.00207e-11
9757,1.34302e-12,1.34302e-12
9758,2.06029e-12,2.06029e-12
9759,2.80038e-12,2.80038e-12
9760,4.33619e-12,4.33619e-12
9761,3.02874e-13,3.02874e-13
9762,4.58951e-13,4.58951e-13
9763,6.36637e-13,6.36637e-13
9764,9.69174e-13,9.69174e-13
9765,6.62252e-14,6.62252e-14
9766,9.97261e-14,9.97261e-14
9767,1.41698e-13,1.41698e-13
9768,2.13891e-13,2.13891e-13
9769,1.38791e-14,1.38791e-14
9770,2.08272e-14,2.08272e-14
9771,3.03493e-14,3.03493e-14
9772,4.56062e-14,4.56062e-14
9773,2.77559e-15,2.77559e-15
9774,4.15581e-15,4.15581e-15
9775,6.21109e-15,6.21109e-15
9776,9.30842e-15,9.30842e-15
9777,5.29027e-16,5.29027e-16
9778,7.90796e-16,7.90796e-16
9779,1.21166e-15,1.21166e-15
9780,1.81251e-15,1.81251e-15
9781,9.61231e-17,9.61231e-17
9782,1.43491e-16,1.43491e-16
9783,2.25243e-16,2.25243e-16
9784,3.36446e-16,3.36446e-16
9785,1.66648e-17,1.66648e-17
9786,2.4847e-17,2.4847e-17
9787,3.99265e-17,3.99265e-17
9788,5.95629e-17,5.95629e-17
9789,2.76138e-18,2.76138e-18
9790,4.11258e-18,4.11258e-18
9791,6.75646e-18,6.75646e-18
9792,1.00677e-17,1.00677e-17
9793,4.46984e-19,4.46984e-19
9794,6.64969e-19,6.64969e-19
9795,1.09631e-18,1.09631e-18
9796,1.6318e-18,1.6318e-18
9797,1.32774e-19,1.32774e-19
9798,1.97332e-19,1.97332e-19
9799,1.943e-19,1.943e-19
9800,2.88871e-19,2.88871e-19
9801,2.55617e-05,2.55617e-05
9802,2.4447e-05,2.4447e-05
9803,3.99798e-05,3.99798e-05
9804,2.47258e-05,2.47258e-05
9805,3.82147e-05,3.82147e-05
9806,3.86561e-05,3.86561e-05
9807,2.88982e-05,2.88982e-05
9808,4.52714e-05,4.52714e-05
9809,2.69532e-05,2.69532e-05
9810,4.21852e-05,4.21852e-05
9811,3.444e-05,3.444e-05
9812,5.40868e-05,5.40868e-05
9813,3.13943e-05,3.13943e-05
9814,4.9238e-05,4.9238e-05
9815,4.21814e-05,4.21814e-05
